date,game_players
2022-12-31,1899
2022-12-30,1973
2022-12-29,1919
2022-12-28,1937
2022-12-27,2012
2022-12-26,2043
2022-12-25,1562
2022-12-24,1911
2022-12-23,2112
2022-12-22,2034
2022-12-21,2036
2022-12-20,2261
2022-12-19,2422
2022-12-18,2108
2022-12-17,2088
2022-12-16,2160
2022-12-15,2127
2022-12-14,2048
2022-12-13,2224
2022-12-12,2150
2022-12-11,2075
2022-12-10,2041
2022-12-09,2165
2022-12-08,1863
2022-12-07,2388
2022-12-06,2261
2022-12-05,2200
2022-12-04,2398
2022-12-03,2260
2022-12-02,2343
2022-12-01,2200
2022-11-30,2405
2022-11-29,2316
2022-11-28,2484
2022-11-27,2356
2022-11-26,2424
2022-11-25,2329
2022-11-24,2725
2022-11-23,2451
2022-11-22,2534
2022-11-21,2382
2022-11-20,2396
2022-11-19,2400
2022-11-18,2899
2022-11-17,2530
2022-11-16,2541
2022-11-15,2650
2022-11-14,2467
2022-11-13,2515
2022-11-12,2356
2022-11-11,2438
2022-11-10,2575
2022-11-09,2678
2022-11-08,2531
2022-11-07,2439
2022-11-06,3013
2022-11-05,2751
2022-11-04,2565
2022-11-03,2819
2022-11-02,2640
2022-11-01,3667
2022-10-31,2572
2022-10-30,2496
2022-10-29,2536
2022-10-28,2636
2022-10-27,2615
2022-10-26,2904
2022-10-25,2817
2022-10-24,2768
2022-10-23,3021
2022-10-22,2810
2022-10-21,2794
2022-10-20,2769
2022-10-19,2794
2022-10-18,2805
2022-10-17,2965
2022-10-16,2854
2022-10-15,3123
2022-10-14,2752
2022-10-13,2677
2022-10-12,2947
2022-10-11,2752
2022-10-10,2654
2022-10-09,2668
2022-10-08,2642
2022-10-07,2840
2022-10-06,2987
2022-10-05,2885
2022-10-04,3060
2022-10-03,2969
2022-10-02,2775
2022-10-01,2696
2022-09-30,2859
2022-09-29,2829
2022-09-28,3007
2022-09-27,2888
2022-09-26,2884
2022-09-25,2677
2022-09-24,3077
2022-09-23,2893
2022-09-22,3119
2022-09-21,2900
2022-09-20,2843
2022-09-19,3430
2022-09-18,3038
2022-09-17,3073
2022-09-16,4130
2022-09-15,3011
2022-09-14,2938
2022-09-13,2706
2022-09-12,2883
2022-09-11,2675
2022-09-10,2777
2022-09-09,2909
2022-09-08,3001
2022-09-07,2873
2022-09-06,3022
2022-09-05,2970
2022-09-04,2889
2022-09-03,2877
2022-09-02,3149
2022-09-01,2928
2022-08-31,3166
2022-08-30,3009
2022-08-29,3072
2022-08-28,2866
2022-08-27,2784
2022-08-26,3046
2022-08-25,3175
2022-08-24,2927
2022-08-23,2933
2022-08-22,3123
2022-08-21,3186
2022-08-20,3249
2022-08-19,2987
2022-08-18,3172
2022-08-17,3173
2022-08-16,3087
2022-08-15,3180
2022-08-14,2968
2022-08-13,3185
2022-08-12,3076
2022-08-11,3243
2022-08-10,3312
2022-08-09,3019
2022-08-08,3187
2022-08-07,3190
2022-08-06,3395
2022-08-05,3428
2022-08-04,3336
2022-08-03,3327
2022-08-02,3380
2022-08-01,3303
2022-07-31,3369
2022-07-30,3171
2022-07-29,3213
2022-07-28,3490
2022-07-27,3285
2022-07-26,3507
2022-07-25,3339
2022-07-24,3401
2022-07-23,3111
2022-07-22,3665
2022-07-21,3367
2022-07-20,3685
2022-07-19,3358
2022-07-18,3548
2022-07-17,3345
2022-07-16,3280
2022-07-15,3353
2022-07-14,3388
2022-07-13,3727
2022-07-12,3870
2022-07-11,3430
2022-07-10,3494
2022-07-09,3933
2022-07-08,3484
2022-07-07,3671
2022-07-06,4049
2022-07-05,3604
2022-07-04,3591
2022-07-03,3461
2022-07-02,3515
2022-07-01,3792
2022-06-30,3758
2022-06-29,3957
2022-06-28,3844
2022-06-27,3848
2022-06-26,3954
2022-06-25,3670
2022-06-24,3991
2022-06-23,4118
2022-06-22,3861
2022-06-21,4194
2022-06-20,3950
2022-06-19,4399
2022-06-18,4101
2022-06-17,4251
2022-06-16,4112
2022-06-15,4391
2022-06-14,4762
2022-06-13,4142
2022-06-12,4323
2022-06-11,4087
2022-06-10,4324
2022-06-09,4665
2022-06-08,4607
2022-06-07,4440
2022-06-06,4548
2022-06-05,4329
2022-06-04,4432
2022-06-03,4957
2022-06-02,4770
2022-06-01,4797
2022-05-31,4802
2022-05-30,4741
2022-05-29,4435
2022-05-28,4562
2022-05-27,4842
2022-05-26,4733
2022-05-25,4835
2022-05-24,4809
2022-05-23,4906
2022-05-22,4928
2022-05-21,4973
2022-05-20,5238
2022-05-19,5162
2022-05-18,5544
2022-05-17,5142
2022-05-16,5179
2022-05-15,4963
2022-05-14,5290
2022-05-13,5522
2022-05-12,5419
2022-05-11,5688
2022-05-10,5489
2022-05-09,6146
2022-05-08,5256
2022-05-07,5233
2022-05-06,5482
2022-05-05,6313
2022-05-04,7243
2022-05-03,5941
2022-05-02,6530
2022-05-01,5699
2022-04-30,5749
2022-04-29,7001
2022-04-28,6315
2022-04-27,6564
2022-04-26,6830
2022-04-25,6549
2022-04-24,6743
2022-04-23,6482
2022-04-22,7731
2022-04-21,6960
2022-04-20,6796
2022-04-19,8198
2022-04-18,7341
2022-04-17,7008
2022-04-16,7035
2022-04-15,8522
2022-04-14,7356
2022-04-13,7835
2022-04-12,7275
2022-04-11,7236
2022-04-10,7894
2022-04-09,8537
2022-04-08,9010
2022-04-07,7575
2022-04-06,7560
2022-04-05,7702
2022-04-04,7943
2022-04-03,7931
2022-04-02,9315
2022-04-01,8913
2022-03-31,8469
2022-03-30,9318
2022-03-29,8494
2022-03-28,10613
2022-03-27,9935
2022-03-26,9376
2022-03-25,8562
2022-03-24,9318
2022-03-23,8555
2022-03-22,8807
2022-03-21,9200
2022-03-20,8417
2022-03-19,8515
2022-03-18,9304
2022-03-17,8847
2022-03-16,11234
2022-03-15,10024
2022-03-14,9373
2022-03-13,8937
2022-03-12,9353
2022-03-11,12400
2022-03-10,9960
2022-03-09,9435
2022-03-08,9767
2022-03-07,9823
2022-03-06,9911
2022-03-05,10405
2022-03-04,9396
2022-03-03,10465
2022-03-02,10813
2022-03-01,10577
2022-02-28,10521
2022-02-27,10438
2022-02-26,10087
2022-02-25,11687
2022-02-24,10405
2022-02-23,11411
2022-02-22,11814
2022-02-21,10887
2022-02-20,11094
2022-02-19,11241
2022-02-18,10220
2022-02-17,12767
2022-02-16,10740
2022-02-15,10343
2022-02-14,10343
2022-02-13,9826.5
2022-02-12,9310
2022-02-11,10631
2022-02-10,13480
2022-02-09,13846
2022-02-08,15369
2022-02-07,13340
2022-02-06,13716
2022-02-05,13708
2022-02-04,14813
2022-02-03,14609
2022-02-02,14205
2022-02-01,13606
2022-01-31,13347
2022-01-30,11524
2022-01-29,11592
2022-01-28,11148
2022-01-27,11451
2022-01-26,10163
2022-01-25,8708
2022-01-24,8317
2022-01-23,7630
2022-01-22,6850
2022-01-21,7409
2022-01-20,6589
2022-01-19,7094
2022-01-18,6206
2022-01-17,5640
2022-01-16,4955
2022-01-15,4655
2022-01-14,3985
2022-01-13,3345
2022-01-12,3073
2022-01-11,3017
2022-01-10,2242
2022-01-09,1913
2022-01-08,1763
2022-01-07,1362