date,game_players
2022-07-01,47248
2022-07-02,41765
2022-07-03,40486
2022-07-04,42645
2022-07-05,44578
2022-07-06,47344
2022-07-07,43407
2022-07-08,42806
2022-07-09,47094
2022-07-10,41785
2022-07-11,40545
2022-07-12,46910
2022-07-13,46246
2022-07-14,40549
2022-07-15,39234
2022-07-16,38769
2022-07-17,39611
2022-07-18,42574
2022-07-19,39667
2022-07-20,42237
2022-07-21,39086
2022-07-22,43099
2022-07-23,36769
2022-07-24,39813
2022-07-25,39228
2022-07-26,39171
2022-07-27,38384
2022-07-28,40650
2022-07-29,37791
2022-07-30,37353
2022-07-31,39250
2022-08-01,36662
2022-08-02,34909
2022-08-03,38381
2022-08-04,37229
2022-08-05,37350
2022-08-06,38841
2022-08-07,36223
2022-08-08,35516
2022-08-09,36223
2022-08-10,37654
2022-08-11,37301
2022-08-12,34198
2022-08-13,35276
2022-08-14,31652
2022-08-15,35376
2022-08-16,35105
2022-08-17,35815
2022-08-18,34938
2022-08-19,33965
2022-08-20,38245
2022-08-21,35617
2022-08-22,35888
2022-08-23,33549
2022-08-24,33700
2022-08-25,36737
2022-08-26,34716
2022-08-27,31241
2022-08-28,30214
2022-08-29,34281
2022-08-30,33660
2022-08-31,35343
2022-09-01,31903
2022-09-02,35724
2022-09-03,31191
2022-09-04,32018
2022-09-05,32733
2022-09-06,32734
2022-09-07,30992
2022-09-08,31962
2022-09-09,32172
2022-09-10,29237
2022-09-11,27887
2022-09-12,29147
2022-09-13,29497
2022-09-14,32142
2022-09-15,33344
2022-09-16,37309
2022-09-17,33418
2022-09-18,33102
2022-09-19,35050
2022-09-20,31277
2022-09-21,31976
2022-09-22,34455
2022-09-23,31509
2022-09-24,32777
2022-09-25,28994
2022-09-26,31706
2022-09-27,30985
2022-09-28,31355
2022-09-29,30477
2022-09-30,31223
2022-10-01,28202
2022-10-02,30088
2022-10-03,32288
2022-10-04,32014
2022-10-05,30935
2022-10-06,32522
2022-10-07,29026
2022-10-08,26905
2022-10-09,28408
2022-10-10,26878
2022-10-11,28575
2022-10-12,29151
2022-10-13,27197
2022-10-14,28906
2022-10-15,30403
2022-10-16,30459
2022-10-17,31269
2022-10-18,28612
2022-10-19,28322
2022-10-20,28741
2022-10-21,28637
2022-10-22,29084
2022-10-23,29279
2022-10-24,28947
2022-10-25,28953
2022-10-26,30063
2022-10-27,27609
2022-10-28,27905
2022-10-29,25156
2022-10-30,24672
2022-10-31,26498
2022-11-01,27502
2022-11-02,27670
2022-11-03,29554
2022-11-04,27330
2022-11-05,29743
2022-11-06,31068
2022-11-07,26096
2022-11-08,27213
2022-11-09,28984
2022-11-10,27467
2022-11-11,25993
2022-11-12,24660
2022-11-13,25085
2022-11-14,26536
2022-11-15,27475
2022-11-16,25576
2022-11-17,27465
2022-11-18,29208
2022-11-19,24749
2022-11-20,24991
2022-11-21,24288
2022-11-22,27437
2022-11-23,26663
2022-11-24,27705
2022-11-25,24197
2022-11-26,26381
2022-11-27,25206
2022-11-28,26051
2022-11-29,23739
2022-11-30,23183.5
2022-12-01,22628
2022-12-02,24646
2022-12-03,23873
2022-12-04,25577
2022-12-05,23153
2022-12-06,23509
2022-12-07,24899
2022-12-08,21199
2022-12-09,23640
2022-12-10,21157
2022-12-11,21947
2022-12-12,22873
2022-12-13,24101
2022-12-14,20824
2022-12-15,22176
2022-12-16,22853
2022-12-17,22336
2022-12-18,22166
2022-12-19,26010
2022-12-20,24137
2022-12-21,22180
2022-12-22,20490
2022-12-23,21937
2022-12-24,20281
2022-12-25,15554
2022-12-26,20011
2022-12-27,20879
2022-12-28,20160
2022-12-29,20001
2022-12-30,21204
2022-12-31,20380